eurosciwoc_path;target_id;strength;justification
agricultural sciences/agriculture, forestry, and fisheries/agriculture;2.4;direct;Target 2.4 asks for "sustainable food production systems" and "resilient agricultural practices"; agriculture is the activity it names.
agricultural sciences/agriculture, forestry, and fisheries/agriculture/sustainable agriculture;2.4;direct;Target 2.4's subject verbatim: sustainable food production and resilient agricultural practices.
agricultural sciences/agriculture, forestry, and fisheries/agriculture/agroecology;2.4;direct;Agroecology is the research field for the "resilient agricultural practices that help maintain ecosystems" target 2.4 names.
agricultural sciences/agriculture, forestry, and fisheries/agriculture/agroecology;15.3;contributing;Target 15.3 asks to "restore degraded land and soil"; agroecological practice is a named route to it.
agricultural sciences/agriculture, forestry, and fisheries/agriculture/agronomy;2.3;contributing;Target 2.3 asks to "double the agricultural productivity"; agronomy is the science of crop productivity.
agricultural sciences/agriculture, forestry, and fisheries/agriculture/agronomy/plant breeding;2.3;direct;Target 2.3's agricultural productivity, and 2.5's "genetic diversity of seeds, cultivated plants" is the material breeding works on.
agricultural sciences/agriculture, forestry, and fisheries/agriculture/agronomy/plant breeding;2.5;contributing;Target 2.5 names the genetic diversity of cultivated plants, which breeding both uses and narrows.
agricultural sciences/agriculture, forestry, and fisheries/agriculture/agronomy/plant protection;2.4;contributing;Target 2.4's resilient agricultural practices include protecting yield against pests and disease.
agricultural sciences/agriculture, forestry, and fisheries/agriculture/grains and oilseeds;2.3;contributing;Target 2.3's agricultural productivity, applied to the staple crops the category names.
agricultural sciences/agriculture, forestry, and fisheries/agriculture/grains and oilseeds/cereals;2.1;contributing;Target 2.1 asks to end hunger and ensure "access by all people to safe, nutritious and sufficient food"; cereals are the staple.
agricultural sciences/agriculture, forestry, and fisheries/agriculture/grains and oilseeds/legumes;2.1;contributing;As cereals, for target 2.1's sufficient and nutritious food.
agricultural sciences/agriculture, forestry, and fisheries/agriculture/horticulture;2.1;contributing;Target 2.1's nutritious food; horticulture is the fruit and vegetable supply.
agricultural sciences/agriculture, forestry, and fisheries/agriculture/horticulture/urban horticulture;11.3;contributing;Target 11.3's inclusive and sustainable urbanization includes food production inside settlements.
agricultural sciences/agriculture, forestry, and fisheries/fisheries;14.4;direct;Target 14.4 asks to "regulate harvesting and end overfishing" and restore fish stocks; fisheries science is that subject.
agricultural sciences/agriculture, forestry, and fisheries/fisheries;14.7;contributing;Target 14.7 names the economic benefits of "sustainable use of marine resources", including fisheries.
agricultural sciences/agriculture, forestry, and fisheries/forestry;15.2;direct;Target 15.2 asks for "sustainable management of all types of forests"; forestry is that activity.
agricultural sciences/agriculture, forestry, and fisheries/forestry/silviculture;15.2;direct;Silviculture is the practice of the forest management target 15.2 names, including reforestation.
agricultural sciences/agriculture, forestry, and fisheries/forestry;15.1;contributing;Target 15.1 names the conservation and sustainable use of terrestrial ecosystems, forests among them.
agricultural sciences/animal and dairy science/apiculture;15.5;contributing;Target 15.5 addresses biodiversity loss; pollinator husbandry bears directly on it.
agricultural sciences/animal and dairy science/dairy;2.3;contributing;Target 2.3's agricultural productivity and incomes of small-scale food producers.
agricultural sciences/animal and dairy science/domestic animals;2.5;contributing;Target 2.5 names "farmed and domesticated animals" and their genetic diversity.
